,per_unit_pv_generation,per_unit_wind_generation,residential_demand,commercial_demand,industrial_demand
159,0.04,0.13747,4.567144126084842,0.0,0.0
160,0.0,0.11469000000000001,4.6203955233841185,0.0,0.0
161,0.0,0.09599999999999999,4.872654999733265,0.0,0.0
162,0.0,0.0915,4.738765772237939,0.0,0.0
163,0.0,0.08650000000000001,4.577794405544697,0.0,0.0
164,0.0,0.08149999999999999,4.383959319375329,0.0,0.0
165,0.0,0.07099999999999998,4.15056605235507,0.0,0.0
166,0.0,0.06,3.950949385907495,0.0,0.0
167,0.0,0.053489999999999996,3.736118034517269,0.0,0.0
168,0.0,0.099,3.5358927806719875,0.0,0.0
169,0.0,0.16158999999999996,3.391048980017955,0.0,0.0
170,0.0,0.25092,3.2784603114423403,0.0,0.0
171,0.0,0.18563999999999997,3.2142543409843554,0.0,0.0
172,0.0,0.13813999999999999,3.1984310686439987,0.0,0.0
173,0.0,0.0975,3.2270346763361815,0.0,0.0
174,0.0,0.07949999999999999,3.315584142702408,0.0,0.0
175,0.0,0.06150000000000001,3.4497776638965854,0.0,0.0
176,0.003,0.050079999999999986,3.6536544421281034,0.0,0.0
177,0.05,0.06150000000000001,3.8502281715871485,0.0,0.0
178,0.097,0.07899999999999999,4.013025300473508,0.0,0.0
179,0.104,0.097,4.125005381651417,0.0,0.0
180,0.119,0.053799999999999994,4.204426037052053,0.0,0.0
181,0.124,0.026339999999999995,4.212033379523378,0.0,0.0
182,0.087,0.0092,4.186472708819725,0.0,0.0
183,0.042,0.006800000000000001,4.170040849081662,0.0,0.0
184,0.0,0.004399999999999999,4.279890874367599,0.0,0.0
185,0.0,0.0018999999999999996,4.624351341469208,0.0,0.0
186,0.0,0.0070999999999999995,4.586923216510288,0.0,0.0
187,0.0,0.014369999999999999,4.473117373139261,0.0,0.0
188,0.0,0.024249999999999997,4.309103069457489,0.0,0.0
189,0.0,0.041710000000000004,4.115876570685827,0.0,0.0
190,0.0,0.064,3.889786352438039,0.0,0.0
191,0.0,0.097,3.6372225823900397,0.0,0.0
192,0.0,0.093,3.450994838691998,0.0,0.0
193,0.0,0.089,3.3469263936842677,0.0,0.0
194,0.0,0.08499999999999999,3.2891105909021965,0.0,0.0
195,0.0,0.12072000000000001,3.2641585075962483,0.0,0.0
196,0.0,0.16494,3.302803807350582,0.0,0.0
